row_index,WTUR.environment_ok
1,44277.58
2,44277.58
3,44277.59
4,44277.59
5,44277.59
6,44277.59
7,44277.59
8,44277.6
9,44277.6
10,44277.6
11,44277.6
12,44277.6
13,44277.61
14,44277.61
15,44277.61
16,44277.61
17,44277.61
18,44277.62
19,44277.62
20,44277.62
21,44277.62
22,44277.62
23,44277.63
24,44277.63
25,44277.63
26,44277.63
27,44277.63
28,44277.64
29,44277.64
30,44277.64
31,44277.64
32,44277.64
33,44277.65
34,44277.65
35,44277.65
36,44277.65
37,44277.65
38,44277.66
39,44277.66
40,44277.66
41,44277.66
42,44277.66
43,44277.67
44,44277.67
45,44277.67
46,44277.67
47,44277.67
48,44277.68
49,44277.68
50,44277.68
51,44277.68
52,44277.68
53,44277.69
54,44277.69
55,44277.69
56,44277.69
57,44277.69
58,44277.7
59,44277.7
60,44277.7
61,44277.7
62,44277.7
63,44277.71
64,44277.71
65,44277.71
66,44277.71
67,44277.71
68,44277.72
69,44277.72
70,44277.72
71,44277.72
72,44277.72
73,44277.73
74,44277.73
75,44277.73
76,44277.73
77,44277.73
78,44277.74
79,44277.74
80,44277.74
81,44277.74
82,44277.74
83,44277.75
84,44277.75
85,44277.75
86,44277.75
87,44277.75
88,44277.76
89,44277.76
90,44277.76
91,44277.76
92,44277.76
93,44277.77
94,44277.77
95,44277.77
96,44277.77
97,44277.77
98,44277.78
99,44277.78
100,44277.78
101,44277.78
102,44277.78
103,44277.79
104,44277.79
105,44277.79
106,44277.79
107,44277.79
108,44277.8
109,44277.8
110,44277.8
111,44277.8
112,44277.8
113,44277.81
114,44277.81
115,44277.81
116,44277.81
117,44277.81
118,44277.82
119,44277.82
120,44277.82
121,44277.82
122,44277.82
123,44277.83
124,44277.83
125,44277.83
126,44277.83
127,44277.83
128,44277.84
129,44277.84
130,44277.84
131,44277.84
132,44277.84
133,44277.85
134,44277.85
135,44277.85
136,44277.85
137,44277.85
138,44277.86
139,44277.86
140,44277.86
141,44277.86
142,44277.86
143,44277.87
144,44277.87
145,44277.87
146,44277.87
147,44277.87
148,44277.88
149,44277.88
150,44277.88
151,44277.88
152,44277.88
153,44277.89
154,44277.89
155,44277.89
156,44277.89
157,44277.89
158,44277.9
159,44277.9
160,44277.9
